"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"167","TGO","Togo","Africa","Sub-Saharan Africa",64.27029,550,44.35638,7797.694,45.48,8.94493,7,4,0.827,0.539,12.95049378,5.016807367
"168","THA","Thailand","Asia","East Asia & Pacific",77.6988,4150,7.40601,69037.513,29.83,1.2684,21,26.5,9.499,0.8,15.88221913,8.697119713
"169","TJK","Tajikistan","Asia","Europe & Central Asia",69.50127,810,28.35318,8921.343,34.86,1.82055,46.667,14.51,17.229,0.685,11.65303618,11.3333938
"170","TKM","Turkmenistan","Asia","Europe & Central Asia",69.74881,NA,36.1038,5758.075,18.24,2.84656,40.283,7.1958,22.247,0.745,13.21039963,11.26139
"171","TLS","Timor-Leste","Asia","East Asia & Pacific",69.62458,2730,36.51501,1296.311,16.34,4.65378,59,0.9147,7.562,0.607,12.616098,5.43679
"172","TON","Tonga","Oceania","East Asia & Pacific",72.57066,3340,9.80953,108.02,10.95,4.70824,NA,34.8609,9.461,0.745,16.04857063,11.392594
"173","TTO","Trinidad and Tobago","Americas","Latin America & Caribbean",76.12728,15840,14.83235,1369.125,23.32,71.63828,30.23838,59.5162,44.76,0.81,14.53545292,11.61062419
"174","TUN","Tunisia","Africa","Middle East & North Africa",77.03745,4140,14.28667,11532.127,33.27,5.36849,21.8,41.4416,13.025,0.731,15.42538224,7.431598614
"175","TUV","Tuvalu","Oceania","East Asia & Pacific",NA,NA,18.74372,11.192,8.5,NA,NA,35,11.864,0.641,9.40443,10.57310772
"176","TZA","United Republic of Tanzania","Africa","Sub-Saharan Africa",67.34418,530,34.7179,57310.019,26.73,3.95176,7,13.0803,0.512,0.549,9.221489906,6.37289871
"177","UGA","Uganda","Africa","Sub-Saharan Africa",66.69038,500,31.86333,42862.958,42.75,13.9485,5,14.6896,1.537,0.525,10.14986994,5.730941566
"178","UKR","Ukraine","Europe","Europe & Central Asia",73.01635,2990,6.94301,44831.159,13.98,6.2845,74.626,33.7,29.923,0.773,14.95656854,11.13142043
"179","URY","Uruguay","Americas","Latin America & Caribbean",77.0994,10290,5.31588,3456.75,9.95,14.65478,24.25404,55.1146,49.398,0.809,16.83259964,8.982549667
"180","USA","United States of America","Americas","North America",78.49568,47350,5.44206,325719.178,7.43,5.76666,28.7,81.0252,26.1,0.921,16.28097916,13.68342972
"181","UZB","Uzbekistan","Asia","Europe & Central Asia",73.00793,1300,12.4589,32387.2,28.3,2.24798,39.784,36.5213,23.742,0.727,12.47714043,11.89558983
"182","VCT","Saint Vincent and the Grenadines","Americas","Latin America & Caribbean",73.21834,6030,12.92237,109.897,22.72,11.91848,43.23082,47.52,9.41,0.751,14.67220567,10.83343029
"183","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America & Caribbean",73.94636,11660,21.05521,31977.065,20.26,8.73942,8.71281,44.0456,17.3,0.691,12.81608,11.10727736
"184","VNM","Viet Nam","Asia","East Asia & Pacific",73.74126,1160,16.70449,95540.8,22.01,3.27907,31.8,39.49,8.281,0.703,12.9519325,8.370280266
"185","VUT","Vanuatu","Oceania","East Asia & Pacific",65.3064,2630,21.0688,276.244,10.5,2.26138,NA,10.598,1.653,0.607,11.53531503,7.064846
"186","WSM","Samoa","Oceania","East Asia & Pacific",70.45068,3030,14.61823,196.44,10.76,2.81582,10,12.92249,5.998,0.707,12.41885948,11.4038
"187","YEM","Yemen","Asia","Middle East & North Africa",66.63147,1160,45.70822,28250.42,41.46,9.73575,7.1,17.4465,5.251,0.455,9.09871006,3.2
"188","ZAF","South Africa","Africa","Sub-Saharan Africa",65.25417,6090,25.77835,56717.156,25.15,35.86099,23,41,7.923,0.713,13.64371014,11.37316036
"189","ZMB","Zambia","Africa","Sub-Saharan Africa",62.4529,1070,41.66417,17094.13,30.79,6.45656,20,13.4682,1.168,0.565,10.92876021,7.187091494
"190","ZWE","Zimbabwe","Africa","Sub-Saharan Africa",60.68252,480,37.92896,16529.904,25.18,5.25154,17,17.0908,1.99,0.593,12.11096904,8.710908501
