"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"39","COM","Comoros","Africa","Sub-Saharan Africa",67.3913,750,47.23303,813.912,15.34,10.99022,21.6,5.9753,2.643,0.558,11.92432393,5.078649
"40","CPV","Cabo Verde","Africa","Sub-Saharan Africa",74.03075,3280,12.20993,546.388,62.2,6.19915,21,34.74342,8.312,0.662,12.55461444,6.287719287
"41","CRI","Costa Rica","Americas","Latin America & Caribbean",80.84692,6860,6.73448,4905.769,18.69,12.58593,11,47.50092,33.005,0.809,16.54577065,8.804059982
"42","CUB","Cuba","Americas","Latin America & Caribbean",77.76285,5460,4.08139,11484.636,19.11,5.14955,53.31035,25.6417,84.199,0.764,14.44305992,12.49773438
"43","CYP","Cyprus","Asia","Europe & Central Asia",83.14104,29450,2.25374,1179.551,14.72,1.27559,33.996,61,31.437,0.896,15.64826965,12.44017029
"44","CZE","Czechia","Europe","Europe & Central Asia",79.1303,18490,2.32417,10591.323,15.41,0.61984,66.2,75,41.533,0.889,16.21968079,12.86931038
"45","DEU","Germany","Europe","Europe & Central Asia",81.72252,42970,3.09995,82695,11.51,0.98289,80,84,44.348,0.942,17.01013947,14.09096691
"46","DJI","Djibouti","Africa","Middle East & North Africa",65.81488,NA,47.18094,956.985,38.34,6.58133,14,8.26723,2.237,0.509,7.43298,4.1
"47","DMA","Dominica","Americas","Latin America & Caribbean",NA,6900,31.69442,73.925,20.5,NA,NA,55.17701,11.034,0.72,13.3191862,8.142186
"48","DNK","Denmark","Europe","Europe & Central Asia",81.31571,59410,3.12779,5769.603,9.85,0.67368,26,93,42.247,0.948,18.71479988,12.96049023
"49","DOM","Dominican Republic","Americas","Latin America & Caribbean",72.84367,5020,27.86701,10766.998,16.04,4.97074,15.56,45,14.518,0.767,14.46655802,9.306864107
"50","DZA","Algeria","Africa","Middle East & North Africa",77.13415,NA,19.46019,41318.142,35.18,1.65664,19,15.22803,17.193,0.745,14.62689602,8.069284397
"51","ECU","Ecuador","Americas","Latin America & Caribbean",78.44662,3850,11.14885,16624.858,19.55,11.46347,13.92792,35.13451,22.2,0.74,14.62423038,8.817119598
"52","EGY","Egypt","Africa","Middle East & North Africa",71.81616,2420,16.646,97553.151,72.31,1.7388,14.3,44.07,7.463,0.731,13.78649972,9.573026174
"53","ERI","Eritrea","Africa","Sub-Saharan Africa",64.08144,NA,29.69438,NA,37.02,17.34614,7,0.8,0.821,0.492,8.064524628,4.8872352
"54","ESP","Spain","Europe","Europe & Central Asia",83.21875,31460,2.71077,46572.028,9.2,0.55968,29.7,72,44.411,0.905,17.91690063,10.60540009
"55","EST","Estonia","Europe","Europe & Central Asia",78.87813,14180,1.65199,1315.48,6.41,1.17193,45.7,79,34.724,0.89,15.92895985,13.54843044
"56","ETH","Ethiopia","Africa","Sub-Saharan Africa",68.6994,390,35.3741,104957.438,31.85,10.68802,3.3,1.48281,1.059,0.498,9.651071421,3.201520681
"57","FIN","Finland","Europe","Europe & Central Asia",81.6124,47460,1.88199,5511.303,5.75,1.1619,36.1,91,46.404,0.94,19.05192947,12.87362003
"58","FJI","Fiji","Oceania","East Asia & Pacific",68.01035,3610,23.02814,905.502,10.7,1.03886,19.97741,33.74236,8.6,0.73,14.73679,10.92154799
"59","FRA","France","Europe","Europe & Central Asia",82.47668,42190,3.44756,67118.648,11.45,0.82539,59.1,83,32.735,0.903,15.81206989,11.61005974
"60","FSM","Micronesia (Federated States of)","Oceania","East Asia & Pacific",63.02715,2730,20.85417,105.544,10.54,6.24236,NA,25.97442,9.391,0.628,11.54947988,7.804956
"61","GAB","Gabon","Africa","Sub-Saharan Africa",66.46912,7680,30.68561,2025.137,40.81,2.94645,13,8.61671,6.455,0.706,12.97731,9.436
"62","GBR","United Kingdom of Great Britain and Northern Ireland","Europe","Europe & Central Asia",81.40353,38140,3.62207,66022.273,10.33,0.98317,24.6,87.0162,30.037,0.929,17.30971909,13.4061203
"63","GEO","Georgia","Asia","Europe & Central Asia",73.2812,2680,8.23412,3717.1,22.15,1.0592,28.936,45.5031,51.085,0.802,15.56851959,12.82221985
"64","GHA","Ghana","Africa","Sub-Saharan Africa",66.27741,1250,33.02185,28833.629,54.5,7.56671,9,17.10768,1.701,0.632,12.04778004,8.329886695
"65","GIN","Guinea","Africa","Sub-Saharan Africa",61.00587,390,61.99205,12717.176,53.32,13.51293,3,1.49014,2.245,0.465,9.805297465,2.202125952
"66","GMB","Gambia","Africa","Sub-Saharan Africa",65.4712,610,34.73893,2100.568,57.74,8.30361,11,12.44923,0.823,0.5,9.418626299,4.637487411
"67","GNB","Guinea-Bissau","Africa","Sub-Saharan Africa",60.21801,580,51.40155,1861.283,54.43,12.93629,10,2.89399,1.956,0.483,10.61306278,3.583719
